AX,AY,AZ,GX,GY,GZ,Result
6.92,0.99,-0.46,0.2,0.37,-1.53,1
7.96,8.28,1.23,-0.55,0.29,-1.82,1
6.75,13.65,0.09,-1.41,-0.3,-1.95,1
7.4,20.82,1.89,-1.01,-0.38,-0.79,1
9.76,23.46,3.78,-0.82,0.13,0.01,1
8.94,12.98,-2.7,-1.21,-0.56,-0.77,1
7.89,12.95,-2.19,-1.56,0.01,0.47,1
9.4,14.37,-2.45,-2.11,0.58,0.68,1
12.57,8.39,0.27,-2.72,0.39,0.08,1
8.62,6.46,1.26,-2.32,0.39,-1.12,1
2.5,6.33,4.5,-1.92,0.29,-0.05,1
1.41,-1.6,8.66,-1.14,0.53,1.1,1
4.91,-0.09,4.75,-0.07,-0.66,0.17,1
6.1,0.41,6.48,1.15,0.19,-0.15,1
4.1,2.96,7.38,2.07,0.46,-0.06,1
5.72,8.7,4.74,1.9,0.18,0.39,1
7.27,11.04,2.54,2.76,0.14,0.48,1
8.43,13.5,-0.85,3.14,0.09,-0.2,1
7.65,17.67,-0.84,1.03,0.85,0.26,1
6.3,13.89,4.28,2.0,0.71,0.26,1
6.91,16.91,6.01,2.02,1.39,1.55,1
7.9,16.45,5.52,2.55,1.29,1.59,1
7.74,11.42,5.14,1.89,0.45,2.09,1
4.35,9.22,1.39,1.35,-0.52,1.74,1
4.09,-3.24,-3.37,0.4,-0.77,0.94,1
2.24,-1.19,0.01,-0.99,-0.73,0.58,1
6.95,-1.01,-0.8,1.13,0.13,-0.68,1
4.84,-1.64,-2.37,0.7,0.44,-1.44,1
6.45,4.87,-0.47,-0.57,0.63,-2.07,1
5.82,8.93,0.19,-1.28,0.27,-1.9,1
6.09,16.03,4.75,-1.62,-0.33,-1.37,1
8.27,19.43,5.9,-0.71,-0.51,-0.26,1
7.26,18.0,2.6,-0.96,-0.05,-0.11,1
8.03,15.79,-4.23,-2.37,-0.21,-0.71,1
10.27,14.28,-2.07,-1.85,0.12,0.38,1
11.99,13.39,-1.44,-2.47,0.28,0.46,1
8.89,10.15,1.27,-1.98,0.62,-0.64,1
3.37,5.54,3.65,-1.65,0.48,-0.12,1
1.13,1.41,8.1,-0.84,1.3,1.61,1
6.59,-2.77,7.07,-0.06,-0.22,0.92,1
2.8,1.97,7.75,0.67,-0.23,-0.33,1
