AX,AY,AZ,GX,GY,GZ,Result
-2.65,-0.17,-3.4,0.01,0.05,-0.13,1
-2.91,-0.44,-3.4,-0.06,-0.19,-0.14,1
-3.09,-0.6,-3.09,-0.14,-0.27,-0.08,1
-3.02,-0.24,-2.44,-0.2,-0.39,0.03,1
0.0,0.0,0.0,-0.02,-0.16,-0.02,1
0.0,0.0,0.0,0.13,0.14,0.11,1
0.0,0.0,0.0,0.18,0.09,-0.08,1
0.0,0.0,0.0,-0.02,-0.07,-0.18,1
0.0,0.0,0.0,-0.09,-0.03,-0.39,1
0.0,0.0,0.0,-0.01,-0.0,-0.45,1
0.0,0.0,0.0,-0.12,0.09,-0.43,1
-3.36,-0.71,-2.42,-0.1,0.04,-0.26,1
0.0,0.0,0.0,-0.11,0.07,-0.09,1
0.0,0.0,0.0,-0.13,0.28,0.18,1
0.0,0.0,0.0,-0.22,0.06,0.23,1
0.0,0.0,0.0,-0.25,-0.06,0.03,1
0.0,0.0,0.0,-0.32,-0.14,-0.11,1
0.0,0.0,0.0,-0.36,-0.19,-0.3,1
0.0,0.0,0.0,-0.27,-0.18,-0.16,1
0.0,0.0,0.0,-0.2,-0.04,-0.1,1
0.0,0.0,0.0,-0.31,-0.06,-0.07,1
0.0,0.0,0.0,-0.41,-0.21,0.01,1
0.0,0.0,0.0,-0.21,-0.18,-0.23,1
0.0,0.0,0.0,-0.07,-0.03,-0.24,1
-1.89,-0.16,-2.71,-0.07,-0.14,-0.27,1
-1.9,-0.26,-2.91,-0.13,0.21,-0.28,1
-3.5,-0.69,-4.02,-0.23,0.47,-0.28,1
-3.3,-0.65,-3.69,-0.29,-0.2,-0.38,1
-3.27,-0.52,-3.21,-0.27,-0.12,-0.39,1
-3.22,-0.52,-3.17,-0.24,-0.26,-0.26,1
-2.94,-0.63,-3.45,-0.2,-0.16,-0.14,1
0.0,0.0,0.0,-0.09,-0.12,-0.14,1
0.0,0.0,0.0,-0.13,-0.38,-0.25,1
0.0,0.0,0.0,-0.01,-0.16,-0.33,1
0.0,0.0,0.0,-0.18,0.1,0.01,1
0.0,0.0,0.0,-0.3,-0.41,-0.09,1
0.0,0.0,0.0,-0.21,-0.21,-0.18,1
0.0,0.0,0.0,-0.21,-0.28,-0.12,1
0.0,0.0,0.0,-0.17,-0.02,-0.14,1
0.0,0.0,0.0,-0.12,0.07,-0.19,1
-1.63,-0.77,-3.34,-0.0,-0.09,-0.46,1
-1.68,-1.04,-3.32,0.04,-0.14,-0.46,1
-2.5,-0.61,-3.37,0.07,0.01,-0.48,1
-1.85,-1.41,-3.19,0.13,0.04,-0.37,1
-2.14,-0.3,-2.99,0.06,0.19,-0.06,1
0.0,0.0,0.0,-0.1,-0.1,-0.07,1
0.0,0.0,0.0,-0.1,-0.17,-0.05,1
0.0,0.0,0.0,-0.19,-0.29,0.0,1
0.0,0.0,0.0,-0.31,-0.52,0.04,1
0.0,0.0,0.0,-0.31,-0.43,0.2,1
0.0,0.0,0.0,-0.51,-0.49,0.18,1
-2.79,0.69,-3.4,-0.85,-0.05,0.14,1
-5.0,-0.5,-4.39,-0.76,1.17,0.67,1
-6.82,-0.62,-6.36,-0.82,0.85,0.84,1
